mae,r2_score,dropped mae,dropped r2_score,dataset,episodes,timesteps,forecast_window,rounds,batch_size,pct_adversaries,pct_saturation,server_aggregator,middle_server_aggregator,attack,drop_point,cosine_similarity
1.4867089071833606,0.9751687227577572,1.8895620775350803,0.9762267947331116,l2rpn,10,100,24,50,128,0.5,1.0,fedavg,fedavg,none,0.4,0.3081179161866506
1.89322949718142,0.9735475511613085,2.855997972507759,0.9647804996504974,l2rpn,10,100,24,50,128,0.5,1.0,fedavg,fedavg,none,0.4,0.4927987749377886
9.4794894592272,0.4470459589632946,11.868207967193097,0.4152463937782705,l2rpn,10,100,24,50,128,0.5,1.0,fedavg,fedavg,none,0.4,0.6488994300365448
10.117376177598535,0.3903487419713106,12.648491920326633,0.35951694875445744,l2rpn,10,100,24,50,128,0.5,1.0,fedavg,fedavg,none,0.4,0.34856565644343696
2.211714237893511,0.962543353381395,2.2702378675865478,0.9733176739618352,l2rpn,10,100,24,50,128,0.5,1.0,fedavg,fedavg,none,0.4,0.2120919557288289
1.702315899869408,0.9689809208253917,0.0,0.0,l2rpn,10,100,24,50,128,0.5,1.0,fedavg,fedavg,none,1.1,0.3401848699897528
2.1514615632153493,0.960284279410997,0.0,0.0,l2rpn,10,100,24,50,128,0.5,1.0,fedavg,fedavg,none,1.1,0.5173569081558121
9.275550328593882,0.4407789389133682,0.0,0.0,l2rpn,10,100,24,50,128,0.5,1.0,fedavg,fedavg,none,1.1,0.5161077189776633
9.462592082803281,0.4610394800757093,0.0,0.0,l2rpn,10,100,24,50,128,0.5,1.0,fedavg,fedavg,none,1.1,0.46774859125208523
1.4910672254867416,0.9736304072577242,0.0,0.0,l2rpn,10,100,24,50,128,0.5,1.0,fedavg,fedavg,none,1.1,0.2887758278184467
1.329318501248719,0.97106205173697,2.3614353201471308,0.9866990864617542,l2rpn,10,100,24,50,128,0.5,1.0,duttagupta,fedavg,none,0.4,0.27899005980315533
2.680681453845642,0.9467241724350473,4.817050805277716,0.9366793292542948,l2rpn,10,100,24,50,128,0.5,1.0,duttagupta,fedavg,none,0.4,0.5287363917312838
7.88743048604185,0.44731905436275143,16.496557361602743,0.40915649812779903,l2rpn,10,100,24,50,128,0.5,1.0,duttagupta,fedavg,none,0.4,0.3263974649662321
8.348739914429773,0.4607182700530177,16.9036645241919,0.42034838993404566,l2rpn,10,100,24,50,128,0.5,1.0,duttagupta,fedavg,none,0.4,0.5032344591211189
1.3247272629314555,0.9728090106182077,2.109700758409252,0.983237134374223,l2rpn,10,100,24,50,128,0.5,1.0,duttagupta,fedavg,none,0.4,0.4143437907099724
2.0893052273474186,0.9608015902015503,0.0,0.0,l2rpn,10,100,24,50,128,0.5,1.0,duttagupta,fedavg,none,1.1,0.3663050575741853
1.524278192609437,0.9735037562044777,0.0,0.0,l2rpn,10,100,24,50,128,0.5,1.0,duttagupta,fedavg,none,1.1,0.5577717601912084
9.337611440913868,0.4400803789904067,0.0,0.0,l2rpn,10,100,24,50,128,0.5,1.0,duttagupta,fedavg,none,1.1,0.27133562802367545
2.3705163638504767,0.9647642285926376,0.0,0.0,l2rpn,10,100,24,50,128,0.5,1.0,duttagupta,fedavg,none,1.1,0.6594000623311872
1.1181306688731953,0.976868144825085,0.0,0.0,l2rpn,10,100,24,50,128,0.5,1.0,duttagupta,fedavg,none,1.1,0.3136368668425122
7.088653231141102,0.42360897689099064,7.273014064623802,0.7607918828021627,l2rpn,10,100,24,50,128,0.5,1.0,ssfgm,ssfgm,none,0.4,0.3894393580655257
7.676817346772561,0.7330715547571092,10.07101954572662,0.6788700689398731,l2rpn,10,100,24,50,128,0.5,1.0,ssfgm,ssfgm,none,0.4,0.38018993778775134
2.713429937700103,0.8710195806412133,3.573220581512908,0.9191470189559903,l2rpn,10,100,24,50,128,0.5,1.0,ssfgm,ssfgm,none,0.4,0.3898499645292759
9.622852873971215,0.45510365541614006,12.267555394044303,0.43772673748661,l2rpn,10,100,24,50,128,0.5,1.0,ssfgm,ssfgm,none,0.4,0.5088361675540606
6.42073099718077,0.6256454438844546,6.407979305077549,0.8221582883247449,l2rpn,10,100,24,50,128,0.5,1.0,ssfgm,ssfgm,none,0.4,0.41297251638025045
8.142960447760752,0.26727945733742997,0.0,0.0,l2rpn,10,100,24,50,128,0.5,1.0,ssfgm,ssfgm,none,1.1,0.4306153882708814
4.295799646746936,0.7881662025154879,0.0,0.0,l2rpn,10,100,24,50,128,0.5,1.0,ssfgm,ssfgm,none,1.1,0.8243853774335649
4.7444494744163315,0.8757441832970583,0.0,0.0,l2rpn,10,100,24,50,128,0.5,1.0,ssfgm,ssfgm,none,1.1,0.4411271552244822
3.0575518624099316,0.9506106363456679,0.0,0.0,l2rpn,10,100,24,50,128,0.5,1.0,ssfgm,ssfgm,none,1.1,0.4197483897623089
3.15158247552716,0.9488237001148241,0.0,0.0,l2rpn,10,100,24,50,128,0.5,1.0,ssfgm,ssfgm,none,1.1,0.3098924654328989
2.543402038807417,0.9536642413575618,2.827755656065394,0.9641086172824678,l2rpn,10,100,24,50,128,1.0,0.5,fedavg,fedavg,empty,0.4,0.34466174642244973
1.1331032942122812,0.9776874836145787,1.8318568701331186,0.9781557099847146,l2rpn,10,100,24,50,128,1.0,0.5,fedavg,fedavg,empty,0.4,0.41370419015487037
9.505889838176474,0.44734297801871115,11.932278539008516,0.41556867283672705,l2rpn,10,100,24,50,128,1.0,0.5,fedavg,fedavg,empty,0.4,0.49200742691755295
