mae,r2_score,dropped mae,dropped r2_score,dataset,episodes,timesteps,forecast_window,rounds,batch_size,pct_adversaries,pct_saturation,server_aggregator,middle_server_aggregator,attack,drop_point,cosine_similarity
2.1002805644400206,0.9725455105333416,2.3958555245538764,0.9633902063332892,l2rpn,10,100,24,50,128,0.5,1.0,fedavg,fedavg,none,0.4,0.2988171947499116
5.726882899652036,0.8604566224243386,6.434254110712406,0.6926051394983321,l2rpn,10,100,24,50,128,0.5,1.0,fedavg IF,fedavg,none,0.4,0.2988171947499116
1.954426022844148,0.9669853329909754,2.2869625335634813,0.969871050438558,l2rpn,10,100,24,50,128,0.5,1.0,fedavg,fedavg,none,0.4,0.4598657543460528
11.665934638736356,0.15249382262473,18.40326047024944,-0.1092166194946275,l2rpn,10,100,24,50,128,0.5,1.0,fedavg IF,fedavg,none,0.4,0.4598657543460528
11.825876407637018,0.4380536585854416,10.883547116636128,0.4137650808391773,l2rpn,10,100,24,50,128,0.5,1.0,fedavg,fedavg,none,0.4,0.3644847149650256
12.974262435678096,0.3811177646375442,12.38088570808734,0.3405069452996508,l2rpn,10,100,24,50,128,0.5,1.0,fedavg IF,fedavg,none,0.4,0.3644847149650256
2.127436581292255,0.969105655980014,2.744352105808405,0.9566201247347712,l2rpn,10,100,24,50,128,0.5,1.0,fedavg,fedavg,none,0.4,0.4343062087893486
9.914201466387114,-0.0751264940624256,18.13312948811242,-1.178353331887085,l2rpn,10,100,24,50,128,0.5,1.0,fedavg IF,fedavg,none,0.4,0.4343062087893486
1.919028767833256,0.9716767148199014,2.310943615221582,0.9689998236947576,l2rpn,10,100,24,50,128,0.5,1.0,fedavg,fedavg,none,0.4,0.3302276141941547
10.85404449861706,-0.1341195157667848,18.84636385839052,-2.331024402239453,l2rpn,10,100,24,50,128,0.5,1.0,fedavg IF,fedavg,none,0.4,0.3302276141941547
2.6648096656062954,0.956617209155526,0.0,0.0,l2rpn,10,100,24,50,128,0.5,1.0,fedavg,fedavg,none,1.1,0.5155652436945174
8.522697585758621,0.4566249854974737,0.0,0.0,l2rpn,10,100,24,50,128,0.5,1.0,fedavg IF,fedavg,none,1.1,0.5155652436945174
2.0683337192580984,0.966674326672046,0.0,0.0,l2rpn,10,100,24,50,128,0.5,1.0,fedavg,fedavg,none,1.1,0.5378888316866425
9.964711576207126,0.5120154634534633,0.0,0.0,l2rpn,10,100,24,50,128,0.5,1.0,fedavg IF,fedavg,none,1.1,0.5378888316866425
10.531425975573224,0.435392520480337,0.0,0.0,l2rpn,10,100,24,50,128,0.5,1.0,fedavg,fedavg,none,1.1,0.4219827184246646
10.978637266744848,0.4281734534064202,0.0,0.0,l2rpn,10,100,24,50,128,0.5,1.0,fedavg IF,fedavg,none,1.1,0.4219827184246646
1.976298059163884,0.9665540308313064,0.0,0.0,l2rpn,10,100,24,50,128,0.5,1.0,fedavg,fedavg,none,1.1,0.568980510532856
12.776661829722997,-1.5536574626302522,0.0,0.0,l2rpn,10,100,24,50,128,0.5,1.0,fedavg IF,fedavg,none,1.1,0.568980510532856
2.127670864861854,0.9664868464053528,0.0,0.0,l2rpn,10,100,24,50,128,0.5,1.0,fedavg,fedavg,none,1.1,0.2847687593350808
16.673779507978743,-1.273518292177272,0.0,0.0,l2rpn,10,100,24,50,128,0.5,1.0,fedavg IF,fedavg,none,1.1,0.2847687593350808
1.4579000879299209,0.9750953166802784,1.8722910733739928,0.97256868596062,l2rpn,10,100,24,50,128,0.5,1.0,fedavg,topk,none,0.4,0.4065100873510043
5.953403361647073,0.8555033235010501,4.678596262181225,0.8675561316122486,l2rpn,10,100,24,50,128,0.5,1.0,fedavg IF,topk,none,0.4,0.4065100873510043
1.4525976299767682,0.975660615181866,1.8654243125974623,0.9749441803025776,l2rpn,10,100,24,50,128,0.5,1.0,fedavg,topk,none,0.4,0.3176198723415533
5.267103043729005,0.9056340892102908,3.9278858356199904,0.925580837670746,l2rpn,10,100,24,50,128,0.5,1.0,fedavg IF,topk,none,0.4,0.3176198723415533
1.8461519548695235,0.973513162365615,2.2230169064399607,0.966069015690949,l2rpn,10,100,24,50,128,0.5,1.0,fedavg,topk,none,0.4,0.3544388353824615
6.035033471279787,0.7770707221234282,6.961319156788413,0.7354049259853735,l2rpn,10,100,24,50,128,0.5,1.0,fedavg IF,topk,none,0.4,0.3544388353824615
1.594957218392093,0.9749547535721854,1.935053932806095,0.9708367055505818,l2rpn,10,100,24,50,128,0.5,1.0,fedavg,topk,none,0.4,0.4348540782928466
4.721420629199796,0.9090229160111738,3.4699800750840835,0.9496623523213396,l2rpn,10,100,24,50,128,0.5,1.0,fedavg IF,topk,none,0.4,0.4348540782928466
1.8017796962578525,0.973816688090934,2.138954540959637,0.9676916985546186,l2rpn,10,100,24,50,128,0.5,1.0,fedavg,topk,none,0.4,0.5072036604086558
5.327686054632632,0.8827252638600396,5.367800135130398,0.8833018040067084,l2rpn,10,100,24,50,128,0.5,1.0,fedavg IF,topk,none,0.4,0.5072036604086558
1.4470452241205003,0.9717017491232524,0.0,0.0,l2rpn,10,100,24,50,128,0.5,1.0,fedavg,topk,none,1.1,0.5529185396929582
5.279748461440433,0.8703620902283109,0.0,0.0,l2rpn,10,100,24,50,128,0.5,1.0,fedavg IF,topk,none,1.1,0.5529185396929582
1.4143939951697044,0.9728065259874614,0.0,0.0,l2rpn,10,100,24,50,128,0.5,1.0,fedavg,topk,none,1.1,0.3848499310513337
